Term ID,Term,No. of items
59891,Noise pollution,2
60031,nuclear terrorism,2
60151,online petitions,2
60196,Open universities,2
60201,Operational evaluations,2
60231,ORCID,2
60236,Medical transplants,2
60256,Organizational citizenship behavior,2
60326,overseas qualifications,2
60371,Painkillers,2
60386,Panama Papers,2
60491,Partnership Schools,2
60531,Pay TV,2
60566,pension funds,2
60606,Performance targets,2
60611,Perinatal Data Collection,2
60626,Drug harmfulness,2
60691,Physical Education,2
60706,Pillar 3 disclosures,2
60776,poisoning,2
60846,Polio,2
60886,Political models,2
61006,Preloading,2
61041,Price signalling,2
61091,Privacy Act,2
61096,Privacy law,2
61181,Professions,2
61236,Psychosocial hazards,2
61321,public service procurement,2
61411,Rare illness,2
61501,reflux,2
61631,Religious divide,2
61646,remote teaching,2
61671,research accountability,2
61811,Review of Australia’s Welfare System,2
61816,RFID,2
61836,risk perception,2
62176,RU486,2
62191,Rural,2
62206,Safe Assets,2
62416,self-tracking,2
62436,separation of powers,2
62466,settling,2
62491,sexual identiy,2
62501,sexualisation of children,2
62671,social accountability,2
62706,social economy,2
62801,Socio-economic divisions,2
62806,socio-legal studies,2
62876,sperm donors,2
62966,Environmental stewardship,2
62976,Stolen wages,2
63011,stress,2
63021,Stroke,2
63026,structural adjustment programmes,2
63191,Surgeons,2
63306,Tax expenditures,2
63311,Tax havens,2
63366,teams,2
63371,technology diffusion,2
63411,Telecommunications Universal Service Obligation,2
63446,Temporary mobility,2
63551,trade invoicing,2
63556,trade practices act,2
63571,Trading hours,2
63631,transition to school,2
63691,travelling with children,2
63706,Trends,2
63766,UN conventions,2
63771,Unconventional gas mining,2
63806,United Kingdom,2
64056,water markets,2
64306,workplace accommodations,2
64446,representative bodies,2
64456,branding,2
64536,Problem-solving,2
64561,Means Testing,2
64621,Bees,2
64631,Poultry,2
64651,ICAC,2
64676,transfer pricing,2
64791,Comparative studies,2
64841,Corporate reputation,2
64861,parametric simulation,2
64866,Psychosocial Safety Climate,2
64876,Kalman filter,2
64911,expenditure tax,2
64976,Family structure,2
64986,filicide,2
65111,panopticon,2
65196,international taxation,2
65301,vandalism,2
65406,computer science,2
65476,choice of super,2
65621,Suspended sentences,2
65666,adult outcomes,2
65791,phonics,2
65836,Intensive farming,2
65866,Wild dogs,2
65876,financial performance,2
65896,liquidity shock,2
65911,Myki card,2
65931,drive-in drive out,2
65981,Ethanol,2
66021,Toys,2
66056,Regional Financial Stability and Systemic Risk,2
66091,General agronomy,2
66116,animal cruelty,2
66126,Afghani,2
66141,Pay-for-performance,2
66211,Cerebrovascular disease,2
66291,methamphetamine contamination,2
66301,Multiple Sclerosis,2
66336,Representative dwelling model,2
66356,Sufficiency,2
66376,Ultrafine particles,2
66401,Help seeking,2
66461,lower income labour markets,2
66596,Basel bank capital,2
66621,innovation management,2
66786,Insurance advice,2
66811,food processing,2
66926,validation study,2
66931,media concentration,2
67001,mobile access,2
67021,Conservatism,2
67156,PDRK,2
67196,computer use,2
67301,teething,2
67386,Hospital in the home,2
67391,loan sharks,2
67536,Marine Law,2
67616,right to privacy,2
67646,professional learning community,2
67676,flexible budgeting,2
67706,racial separatism,2
67796,progressive tax,2
67826,RDM,2
67956,Heatwave-related morbidity,2
68006,frames,2
68051,International Monetary System,2
68096,Teaching and Learning International Survey (TALIS),2
68116,Fluid intake,2
68151,mobile Internet,2
68236,medical schools,2
68241,African communities,2
68261,FASES,2
68396,Organisational Resilience,2
68411,student satisfaction,2
68416,Regulatory change,2
68421,International surrogacy,2
68461,Superannuation tax concessions,2
68556,protected species,2
68661,Panarchy,2
68666,Voter registration,2
68676,Virtual Private Networks,2
68716,digital footprint,2
68771,workplace giving programs,2
68776,Computer Technology,2
68786,tax payers,2
68806,land,2
68826,business education,2
68846,pension poverty,2
68851,Imperfect competition,2
68891,Economic rent,2
68906,Australia Council,2
68916,bank lending,2
68936,GP co-payment,2
68946,teacher induction,2
68966,tax treatment,2
68986,sensitivity analysis,2
68996,State-space model,2
69001,textiles,2
69031,multidisciplinary approaches,2
69036,emotional development,2
69086,home entertainment,2
69251,Malcolm Fraser,2
69256,UNESCO,2
69266,payroll costs,2
69291,Sustainable restaurants,2
69326,Driving factors for electricity consumption,2
69336,Northern Territory Emergency Response,2
69356,animal culls,2
69371,Pacific region,2
69391,fund trustees,2
69421,framing,2
69481,spending,2
69536,Health rationing,2
69561,thermal mass,2
69566,House,2
69616,outdoor temperature,2
69626,Blood Pressure,2
69666,Thermal environment,2
69686,socio-technical interaction,2
69841,Language services,2
69866,tax revenue,2
69911,portfolio construction,2
70061,buen vivir,2
70191,musculoskeletal pain,2
70211,government tenders,2
70226,Unconscious Bias,2
70246,Andrew Peacock,2
70256,boat people,2
70271,data portals,2
70281,investment income,2
70326,Building-integrated photovoltaics,2
70451,tablets,2
70516,global markets,2
70531,personal safety,2
70556,independent living,2
70561,Commercial surrogacy,2
70601,pre-service,2
70616,backpacker tax,2
70636,music education,2
70646,content creation,2
70661,VET FEE-HELP,2
70676,Leverage Points,2
70706,stress management,2
70716,native title corporations,2
70746,trades,2
70756,transaction costs,2
70891,Junk food,2
70911,Online payments,2
70926,Strategic communication,2
71016,Empirical data,2
71121,Penetration factor,2
71141,Questionnaire survey,2
71286,Chenath engine,2
71301,net Positive Development,2
71546,polymer stacks,2
71561,Forward and backward linkages,2
71571,Life cycle energy,2
71581,Sustainable procurement,2
71621,Renminbi Internationalization,2
71671,service integration,2
71706,legitimacy,2
71716,in-service,2
71756,social development,2
71801,News photography,2
71811,implementation shortfall,2
71956,Z-tax,2
71971,Input-output analysis,2
72006,Knowledge of law,2
72016,simulation tools,2
72036,Relative humidity,2
72211,Carbon multipliers,2
72216,industrial ecology,2
72346,senior housing,2
72396,Size distribution,2
72416,Field Survey,2
72576,recovery-oriented support,2
72636,sky cooling,2
72701,public choice,2
72711,school-based,2
72716,organisational change,2
72721,Iraqi,2
73111,gestational diabetes,2
73121,Thunderstorm asthma,2
73161,sleepwalking,2
73311,Accident compensation,2
73526,Consensual assault,2
74296,Evictions,2
74431,Crocodile farming,2
74536,Tunnels,2
75011,Joint Strike Fighter,2
75276,Remotely Piloted Aircraft,2
75416,Microsimulation,2
75431,Primary producers,2
75591,Public housing redevelopment,2
76131,Gender bias,2
76441,Samoan stories,2
76516,NGO accountability,2
76741,Pacific studies,2
76996,Indigenous storytelling,2
77051,Epistemology,2
77066,Samoan philosophy of justice,2
77096,Popular music,2
77226,Pacific languages,2
77301,Polynesians,2
77326,Tuberculosis,2
77361,Seafood,2
77891,Lapita,2
77946,Maori (New Zealand people) History,2
77991,Pacific peacebuilding,2
78271,Nutrition counselling,2
78751,Physiotherapy,2
78786,Concussion,2
78906,Presbyterian Church,2
79161,Volunteer tourism,2
81196,Home-based services,2
82336,Compliance,2
82501,Prison radio,2
82831,Bicycle helmets,2
82851,Benefits realisation,2
82921,Property tax,2
83411,Radiocommuications,2
83446,Dehumidification,2
83716,clinical guidelines,2
83731,chronic kidney disease,2
83781,Snowy 2.0,2
83811,modernism,2
83816,interior design,2
84016,military vehicles,2
84106,institutional memory,2
84166,systems change,2
84311,digital marketplaces,2
84406,refugee status determination,2
84756,Moana theory,2
84786,Regional Assistance Mission to Solomon Islands (RAMSI),2
84891,Pacific adolescents,2
84911,Permaculture,2
84921,payroll tax,2
85156,persistent identifiers,2
85161,Digital Object Identifiers,2
85311,Acquired Brain Injury,2
88291,household over-crowding,2
88351,Land value,2
88556,sex offender registries,2
88761,Bibliometrics,2
88851,airport security,2
88951,green wedge,2
89141,Firm Location,2
89186,Shared accommodation,2
89211,Tenant relocation,2
89376,food systems,2
89411,socio-technical systems,2
89426,contentious space,2
89441,campgrounds,2
89506,Acoustic engineering,2
89591,Restrictive covenants,2
89616,laneways,2
89711,Deep Learning,2
89986,Ecological footprint,2
90016,Cultural production,2
90351,Royalties,2
90356,Contract design,2
90426,Mindfulness,2
90436,Gambling inducements,2
90556,building types,2
90601,Great Artesian Basin,2
90611,Camping,2
90661,deficit discourse,2
90691,Disaster communication,2
90801,Scott Morrison,2
90836,physical inactivity,2
90906,Development studies,2
91006,Asian migrants,2
91026,Pacific methodologies,2
91141,judicial review,2
91146,government decisions,2
91346,personal health information,2
91446,Financial insecurity,2
91556,Commonwealth property,2
91611,Stranded Assets,2
91631,Rapid reviews,2
91951,cultural value,2
92071,Community-based learning,2
92271,financial sustainability,2
92316,industrial and urban services,2
92411,Community-engaged scholarship,2
92691,Fijian Vanua Research Framework,2
92706,disability abuse,2
92871,digital impacts,2
92926,Terrorism financing,2
92971,hate speech,2
93066,traditional labour market,2
93076,Aquifer,2
93081,income volatility,2
93136,legal information,2
93191,Trusted Digital Identity Framework (TDIF),2
93201,Digital radio,2
93231,household survey data,2
93301,Schedule control,2
93406,Mechanical Turk,2
93421,National Mental Health Commission,2
93466,Reskilling,2
93616,conservation funding,2
93691,creative intelligence,2
93716,human organ trafficking,2
93791,Stillbirth,2
94546,dispute resolution,2
95406,Energy intensities,2
95601,screen time,2
95726,New Zealand history,2
95736,Three-dimensional printing,2
95841,North Atlantic Treaty Organization (NATO),2
95846,insurgency,2
96051,Thalidomide,2
96161,notional estates,2
96186,DNA sampling,2
96376,lifelong learning,2
96416,Solitary confinement,2
96421,Generation Z,2
96481,Animal Justice Party,2
96486,Australian Progressives,2
96516,Diversion programs,2
96736,Forgotten Australians,2
96776,Old growth forests,2
97031,Shade trees,2
97266,Multi-hazard risk,2
97356,Communication in science,2
97366,Instant messaging,2
97666,Space warfare,2
98111,Placenames,2
98126,Social credit,2
98301,Drug–impaired driving,2
98676,Murri,2
98751,Energy management information systems,2
99056,Alternative proteins,2
20701,Private security services,3
20897,Stress in children,3
21077,Malware (Computer software),3
21079,Animated films,3
21193,Recessions,3
21338,Satisfaction,3
21461,Imperialism,3
21670,Wheat,3
21696,Flags,3
21968,Arson investigation,3
22179,Gay rights,3
22538,Postpartum depression,3
22619,Day care,3
22693,Documentary films,3
22783,Gangs,3
33343,Clothing and dress,3
33388,Older men,3
51761,political prisoners,3
51826,Australian screen content,3
51861,State sector,3
52016,monitoring,3
52141,Children's participation,3
52216,sweat shops,3
52271,Correctional Education,3
52381,environmental performance,3
52811,Acute care,3
52851,Adverse events,3
52856,aesthetics,3
52946,aircraft guidance systems,3
52981,Allergies,3
53011,alternative entry pathways,3
53061,Annual leave,3
53166,APO,3
53311,assisted reproductive technology,3
53401,Australian Crime Commission,3
53461,Stock exchanges,3
53591,Belonging,3
53596,Benefit system,3
53621,Bill shock,3
53726,Body Mass Index,3
53806,Bribery,3
53861,Building simulation,3
53886,bushfire communications,3
53951,Capacity Management,3
53991,Caravan park,3
54061,Case management,3
54076,cashless society,3
54161,child assessment,3
54176,child marriage,3
54351,Climate,3
54386,co-operative housing,3
54616,Community supervision,3
54656,complexity,3
54766,Contamination,3
54846,cost reduction,3
54971,criminal damage,3
55071,cultural exchange,3
55086,Culturally responsive teaching,3
55126,Customers,3
55176,Darknet,3
55211,data publishing,3
55381,demand-led employment,3
55401,Dentistry,3
55411,deradicalisation,3
55421,Desert regions,3
55431,Developmental trauma,3
55441,Dialysis,3
55491,Digital curation,3
55496,digital currency,3
55501,Digital democracy,3
55531,Digital financial services,3
55546,Digital humanities,3
55741,driver licensing,3
55866,Early detection,3
55911,East Timor,3
55971,Economic stimulus,3
56096,Older people with disabilities,3
56151,electoral preferences,3
56246,Emerging economies,3
56286,Employers,3
56346,energy distribution networks,3
56361,energy futures,3
56391,Engagement in liberal arts research,3
56436,Environmental science,3
56526,Exploitation,3
56591,family dynamics,3
56656,Federal Circuit Court of Australia,3
56686,feral animals,3
56756,financial integration,3
56776,Financial products,3
56861,Fiscal deficit,3
56866,fish,3
56876,Flexible learning,3
56881,flipped classroom,3
56931,foreign direct investment,3
56936,Foreign fighters,3
57001,free to air,3
57386,Gough Whitlam,3
57411,government advertising,3
57421,Government compensation,3
57456,Government revenue,3
57526,Grey nomads,3
57531,Greyfields,3
57541,Greyhound racing,3
57586,Harassment,3
57696,health performance measures,3
57761,Hearing loss,3
57781,heating design temperature,3
57841,High-frequency trading,3
58291,informal voting,3
58356,injury prevention,3
58421,integrated services,3
58541,Internet literacy,3
58711,jury trials,3
58756,KiwiSaver,3
58866,leadership in schools,3
58896,Legal education,3
59001,Living alone,3
59101,Machinery of government,3
59111,Major report,3
59126,managed funds,3
59131,Mandatory detention,3
59176,maritime safety,3
59196,Material deprivation,3
59391,Mental disorders,3
59411,methane,3
59436,Migration Act 1958,3
59496,Missile Defence,3
59501,missing persons,3
59516,Mobile broadband,3
59591,Mothers and employment,3
59646,music streaming,3
59706,National Classification Scheme,3
59796,Need for evidence,3
59921,North Korea,3
60001,NSW,3
60011,NSW election,3
60076,Oil,3
60096,One Nation,3
60121,online copyright infringement,3
60226,oral history,3
60276,Osteoporosis,3
60411,Parental contributions,3
60476,Parole,3
60551,Peer group,3
60651,Petrol sniffing,3
60686,Physical assault,3
60721,Place-based child and family services,3
60851,Political bias,3
60901,political party funding,3
60906,political reporting,3
60971,post-natal depression,3
60991,Predatory publishing,3
61141,proceeds of crime,3
61146,Productivity Commission,3
61171,Professional military education,3
61176,Professional standards,3
61201,Project planning,3
61291,Public pools,3
61316,Public service media,3
61381,Queensland Government,3
61416,rating tools,3
61421,Ratings,3
61576,Regional resilience,3
61581,Regional social issues,3
61586,Regional universities,3
61611,Regulatory reform,3
61616,Regulatory system,3
61641,remote education system,3
62196,rural communication,3
62321,science funding,3
62441,serious games,3
62461,SES volunteers,3
62496,sexual trauma,3
62506,Shared parenting,3
62536,Single sex schools,3
62821,Soil microbiology,3
62901,sports funding,3
62936,state capitalism,3
63061,Student experiences,3
63141,Super fees,3
63161,Supermarkets,3
63246,Sydney Airport,3
63296,Tax compliance,3
63341,teacher development,3
63381,Technology trends,3
63521,toddlers,3
63586,trafficking of wildlife,3
63591,trainees,3
63721,Truancy,3
63726,Trusts laws,3
63796,unfair dismissal,3
63866,Urban sprawl,3
63941,Victoria,3
63946,Video conferencing,3
63966,virtual modelling,3
64071,water usage,3
64091,Weapons of mass destruction (WMDs),3
64096,weapons trade,3
64101,Weather forecasting,3
64156,White collar crime,3
64311,Workplace agreements,3
64316,Workplace expectations,3
64461,qualitative research,3
64476,proficient teacher,3
64486,widening participation,3
64491,financial reporting,3
64531,soft drinks,3
64641,Evolution,3
64696,National Program for Excellence in the Arts,3
64711,ASIC enforcement,3
64721,Monitoring (Assessment),3
64851,Expressed breast milk,3
64886,Healthy communities,3
64926,Attachment theory,3
65051,GPS,3
65131,public housing transfers,3
65271,Experiential learning,3
65276,Activity-based funding,3
65281,Second Life,3
65401,Dancing,3
65431,Geospatial visualisation,3
65511,detention centres,3
65541,digital productivity,3
65546,digital exclusion,3
65626,Australia-US relations,3
65641,myGov,3
65646,home-based work,3
65671,Repatriation,3
65706,disadvantaged schooling,3
65766,Residential household characteristics,3
65906,Competition law,3
65936,FIFO,3
65976,logistics,3
66031,gene testing,3
66106,Environmental politics,3
66121,subjective well-being,3
66166,Health practitioners,3
66366,thermal performance simulation,3
66456,Housing finance,3
66496,Snowy River,3
66536,project-based learning,3
66556,community investment,3
66691,pedagogy,3
66736,SROI,3
66781,party politics,3
66831,public goods,3
66906,Manufacturing strategy,3
67176,Non-profit,3
67341,empowerment,3
67356,Nurse home visiting,3
67466,US alliance,3
67546,religion and economics,3
67566,Political astuteness,3
67681,Contracting,3
67806,securities lending,3
67866,lung disease,3
67881,Technology integration,3
67951,albedo,3
67986,Built environment,3
68011,transdisciplinary research,3
68061,Integrated family violence services,3
68271,social history,3
68291,shared prosperity,3
68301,Managing to outcomes,3
68321,Internet applications,3
68361,sports sponsorship,3
68371,Lung cancer,3
68486,Resource rent tax,3
68591,University admission,3
68736,wind speed,3
68876,Fees,3
69331,post-crisis period,3
69451,performance and development,3
69596,indoor environment,3
69676,green strategies,3
69811,digital society,3
69921,performance indicators,3
70116,Five Eyes,3
70311,motorcycle riders,3
70386,framing processes,3
70426,Outer space,3
70581,financial institutions,3
70681,Geoblocking,3
70721,plagiarism,3
70761,participatory media practice,3
70776,Base erosion and profit shifting,3
70941,Home equity,3
70981,high growth jobs,3
71131,operational strategy,3
71201,residential houses,3
71261,Influence factors,3
71376,Ageing in place,3
71391,regional broadcasting,3
71416,Social Sector,3
71486,IBAC,3
71491,values,3
71556,outdoor thermal discomfort,3
71586,Urban ecosystems,3
71681,Quality management,3
71931,prescribed bodies corporate,3
71961,arranged marriage,3
72046,Multiple regression analysis,3
72066,Emission source,3
72206,outdoor activities,3
72461,Thermal Performance,3
72516,house value,3
72661,visioning,3
72856,house construction,3
73146,recidivist drink driving,3
73276,mine rehabilitation,3
73486,Procedural justice,3
73776,Uluru Statement,3
73876,Female perpetrators,3
74106,Digital marketing,3
74231,Spatial impacts,3
75771,Professional sport,3
75816,Pacific career progression,3
77816,Informal learning,3
78676,English for academic purposes,3
78861,El Nino,3
78881,La Nina,3
79181,Hepatitis C,3
79461,Pacific women,3
80961,Tsunamis,3
82216,Public transport fares,3
82286,Exterior walls,3
82331,Heat pumps,3
82601,Timber,3
82716,Crowdfunding,3
82761,Water fluoridation,3
82786,Paediatric nutrition,3
83251,Government libraries,3
83396,Rights,3
83466,District heating,3
83556,Digital creativity,3
83706,Cost of consultants,3
83736,Biophilic design,3
83866,value criteria,3
83871,building economics,3
84426,community cohesion,3
84446,reflective pavement,3
84676,Adaptation (Biology),3
84701,Inclusionary zoning,3
84801,Financial planning,3
85026,trade protectionism,3
85111,World War Two,3
85136,native vegitation,3
85166,Data linkage,3
85281,Fiscal austerity,3
85306,deep renovation,3
88846,Class actions,3
88896,Protection orders,3
88956,green reserves,3
88986,Taxi licence holders,3
89076,adaptive reuse,3
89191,residential overcrowding,3
89196,Compact city,3
89281,multi-unit housing,3
89421,Aboriginal stone sites,3
89516,Transit Oriented Development,3
89521,Informal greenspace,3
89791,Child homicide,3
89811,Socialism,3
89941,credit cards,3
89951,mature age,3
89966,jobactive,3
90081,Lithium ion batteries,3
90091,violence against people with disabilities,3
90176,stem cells,3
90286,Adolescent family violence,3
90396,Student finances,3
90401,Sexual misconduct,3
90491,Digital agriculture,3
90561,global climate,3
90681,Community recovery,3
90746,Federal cabinet,3
90781,Eco-innovation,3
90876,Transnationalism,3
91286,Moral rights,3
91301,Pacific Labour Scheme (PLS),3
91426,Income support,3
91456,Therapeutic residential care,3
91621,Europeana,3
92281,intergovernmental planning,3
92521,Mana,3
92606,Racial identity,3
92816,Witness welfare,3
92851,Australia-New Zealand relations,3
93071,asset leasing,3
93156,wage protection,3
93216,Ocean acidification,3
93226,Frontier wars,3
93256,Employee misclassification,3
93306,early-career workers,3
93351,Scheduling software,3
93501,Aboriginal community controlled organisations,3
93516,employee welfare,3
93596,employment prospects,3
93656,labour regulation,3
94251,Gross National Happiness (GNH),3
95651,Murray-Darling Basin Royal Commission,3
95666,National Disability Agreement (NDA),3
95836,Famines,3
96001,hate crime,3
96166,Wills and estates,3
96356,Sex-oriented businesses,3
96436,Obstetrics and gynaecology,3
96511,Social connection,3
96521,Law and order,3
96601,Organisational culture,3
96606,Social impact bonds,3
96766,Antimicrobial resistance (AMR),3
96771,Biomass,3
96846,Landscape-scale conservation,3
97146,Design charettes,3
97256,Floodplains,3
97261,River monitoring,3
97311,Intergenerational equity,3
97406,Interviewing in journalism,3
98296,Drug testing welfare recipients,3
99001,Trespass,3
20821,Fertilization in vitro,4
20862,Islamic leadership,4
21003,Terminally ill,4
21207,People with social disabilities,4
21354,Bankruptcy,4
21389,Political planning,4
21482,Fatherhood,4
21921,Exercise for older people,4
22099,School enrollment,4
22155,Territorial waters,4
22553,Food allergy,4
22605,Child death,4
22968,Revolutions,4
23518,Political cartoons,4
33319,Child pornography,4
33337,Uranium mines and mining,4
33378,Child labour,4
36828,Plebiscite,4
51866,Community Energy,4
51941,tenancy sustainability,4
51976,financial counselling,4
51981,Marketisation,4
52021,Potable water,4
52026,Water pollution,4
52361,Plant shutdowns,4
52796,Active fund management,4
52836,ADHD,4
52936,Airpower,4
53026,Ambulance callouts,4
53051,Animals,4
53071,Antarctica,4
53076,Anthropogenic climate change,4
53256,Asia,4
53276,ASIO,4
53336,ATSIC,4
53456,Steel industry,4
53516,Baby Boomers,4
53571,beginning teacher,4
53576,behaviour management,4
53711,board of directors,4
53791,Brand,4
53866,Bulk-billing,4
53876,Burqa,4
53901,Business Growth Agenda,4
54036,Career choice,4
54056,cartels,4
54131,Chief Executive Officers (CEOs),4
54166,child behaviour,4
54321,Classroom strategies,4
54331,Client satisfaction,4
54706,Connectivity,4
54831,Cosmetic surgery,4
54941,Creative problem solving,4
54966,Crime reduction,4
55026,CSIRO,4
55056,Cultural difference,4
55121,customer service,4
55191,data citation,4
55231,data-driven marketing,4
55236,Dataset,4
55291,decolonisation,4
55301,default superannuation funds,4
55791,Dwellings,4
55831,e-petitions,4
55906,Earthquake strengthening,4
55921,eBooks,4
55961,Economic security,4
56026,education leadership,4
56196,electronic voting,4
56211,Email,4
56561,Fact checking,4
56751,Financial instruments,4
56786,Financial stability,4
56806,financial transparency,4
56926,Foreign debt,4
56991,Franchise,4
57236,George Brandis,4
57261,GLBT,4
57476,graffiti,4
57571,Habitat,4
57811,Henry review,4
57876,Higher education standards,4
57926,home visiting,4
58056,humanitarian innovation,4
58086,illegal downloads,4
58196,Indigenous Fijians,4
58381,Insider trading,4
58386,Institutional frameworks,4
58456,Intergenerational trauma,4
58481,International criminal justice,4
58601,Investment boom,4
58611,iPad,4
58646,IT,4
58856,lawyers,4
58871,learning and teaching,4
58876,Learning programs,4
58911,Level crossing removal,4
59181,Market structure,4
59201,Maternity care,4
59261,Media monitoring,4
59481,minority government,4
59611,multi-storey and mixed-use apartment buildings,4
59671,MySuper,4
60071,Oil prices,4
60166,online shopping,4
60596,Performance monitoring,4
60666,Philosophy,4
60731,Place-based services,4
60746,Playgroups,4
60786,Police brutality,4
60826,Policy research,4
60856,Political correctness,4
61001,Preferential voting,4
61221,prudential regulation,4
61251,public data,4
61371,qualifications,4
61386,racial vilification,4
61446,Rebates,4
61456,Rechargeable battery,4
61471,Recreational cannabis,4
61771,Resource management,4
62186,Rule of law,4
62276,Scholarships,4
62406,self-efficacy,4
62411,self-managed superannuation funds,4
62421,Senate inquiry,4
62516,sharemarkets,4
62561,Skin cancer,4
62756,social procurement,4
63036,student assessment,4
63046,student debt,4
63186,Suppression orders,4
63196,Surrogacy,4
63266,systems thinking,4
63281,Teaching evaluation,4
63326,tax-deductable donations,4
63361,teaching methods,4
63461,The Greens,4
63641,Translating and interpreting,4
63746,Twin peaks regulatory regime,4
64051,war crimes,4
64176,Wikipedia,4
64201,wine industry,4
64291,Working Holiday Makers,4
64481,Trams,4
64756,Research translation,4
64856,flood mitigation,4
64936,Kyoto Protocol,4
65011,recruitment,4
65141,Methods,4
65551,evaluation toolkit,4
65636,water safety,4
65696,Ecosystems,4
65771,Strata title,4
65886,interconnectedness,4
65951,government budget,4
66096,Pastures,4
66196,Building Envelope,4
66261,Indoor environment quality,4
66266,Indoor temperature,4
66406,health impacts,4
66711,journalists,4
67036,Vehicle emissions,4
67091,brown coal,4
67096,tenancy support,4
67461,signals intelligence,4
67471,ATAR,4
67611,PHNs,4
67686,media,4
67731,performance metrics,4
67801,Central banks,4
67841,Alternative fuels,4
67891,road design,4
67946,precinct,4
68046,Falls Prevention,4
68216,Keynote,4
68341,Liquidity,4
68376,corporate environmental reporting,4
68471,financial disclosure,4
68511,Australian Indigenous Sentencing Courts,4
68566,brain research,4
69121,procurement,4
69306,industrial disputes,4
69341,evidence,4
69381,financial services,4
69496,street art,4
69501,Cognitive function,4
69691,real estate agents,4
69701,Thermal adaptation,4
69706,CO2 emissions,4
69721,Regenerative design,4
70201,Project implementation,4
70361,city carbon footprint,4
70366,Integrated modelling,4
70501,Participatory processes,4
71151,tropical climate,4
71306,Transition,4
71351,Social mobility,4
71501,Compulsory acquisition,4
71531,teaching practice,4
71836,knowledge exchange,4
71876,trafficking of women,4
71891,carbon economies,4
71926,Online collaboration,4
72021,evaluation model,4
72096,Field study,4
72226,Resource Efficiency,4
72276,digital inequality,4
72301,Doctors' perceptions,4
72371,cost estimate,4
72536,State and Territory budgets,4
73801,Media code of ethics,4
73851,National Affordable Housing Agreement (NAHA),4
74466,Landlords,4
74586,Housing stress,4
75601,Housing strategy,4
76266,Rheumatic fever,4
77741,Pacific populations,4
79016,Food affordability,4
79881,Surgery,4
82296,Windows,4
82476,Jacinda Ardern,4
82641,Private sector investment,4
83036,Educational data,4
83181,APO Forum 2017,4
83801,subcontracting,4
83991,Indigenous representation,4
84651,Social class,4
84746,Pacific research,4
84816,Resale royalty rights,4
84931,Military history,4
84991,student support,4
85021,Subsistence farming,4
88366,Place-based stigma,4
88386,Online learning,4
88686,heavy vehicles,4
89016,Industrial design,4
89101,spatial distribution,4
89356,light rail,4
89451,Settler colonialism,4
89456,Aboriginal heritage,4
89606,representation,4
89721,Research governance and design,4
89946,energy justice,4
90021,Creative space,4
90431,Psychological health,4
90566,best practice,4
90871,Free association agreements,4
91151,Streets,4
91216,female genital mutilation,4
91231,Orchestras,4
91311,Mobility scooters,4
91416,Assessment metrics,4
91436,Foreign currency transactions,4
91826,BAME (Black Asian Minority Ethnic),4
92276,Greenfield development,4
92331,creative industry-manufacturing nexus,4
92356,employability,4
92366,Knowledge economy,4
92406,Intercultural Learning,4
92476,quality of life,4
92526,Churches,4
92826,digital work,4
92931,economic abuse,4
92946,water sensitive urban design,4
93006,Domestic work,4
93151,income insecurity,4
93706,industrialisation,4
93931,Gender stereotypes,4
94196,Composting,4
94496,Maori-Government relations,4
95351,Australia-Pacific relations,4
96016,Chinatowns,4
96426,Reproductive rights,4
96546,Government integrity,4
96571,Professional associations,4
96726,makerspaces,4
97051,Primary care partnerships,4
97351,Paywalls,4
97811,Waste diversion,4
97936,Proxy war,4
98036,Reproducibility,4
98451,Lean construction,4
98976,Grasslands,4
20432,Internship programs,5
20858,Religious tolerance,5
21282,Employers' liability,5
21322,Arab Spring (2010-),5
21514,Charter schools,5
21564,Logging,5
21757,Help-seeking behavior,5
22543,Eczema,5
22544,Skin infections,5
22565,Teenage parents,5
22568,Aggressiveness in children,5
22827,Perinatal death,5
22962,Sexting,5
23260,Games,5
23318,Ethnology,5
33335,Trusts and trustees,5
36014,Portfolio management,5
51676,Men's health,5
51801,public procurement,5
51816,Labour standards,5
52011,Naval art and science,5
52221,Value capture,5
52256,art market,5
52681,Australian Bureau of Statistics,5
52691,Abuse,5
52826,Addiction services,5
53126,Anxiety,5
53161,Asia-Pacific Economic Cooperation (APEC),5
53411,Australian Federal Reserve Bank,5
53476,Australian Taxation Office,5
53481,Australian values,5
53486,Autism Spectrum Disorder (ASD),5
53521,Back pain,5
53561,Baseload power,5
53616,Bill of rights,5
53796,Breast feeding,5
53896,business conditions,5
54031,Care leavers,5
54081,Casinos,5
54111,CCTV,5
54196,Child Protection Systems Royal Commission,5
54281,citizen juries,5
54361,clinical trials,5
54391,Co-parenting,5
54526,Commonwealth,5
54691,Conflict of interest,5
54696,conflict,5
55251,De Facto Relationships,5
55461,digital broadcasting,5
55661,disengagement,5
55736,driver education,5
55926,Economic cost,5
56061,Educational expectation,5
56156,electoral reform,5
56221,Embodied carbon,5
56226,emergency accommodation,5
56251,Emerging techonolgies,5
56461,ERA National Reports,5
56841,First home buyers,5
57106,Future proofing,5
57186,Generation Y,5
57366,Goods,5
57431,Government funded training,5
57861,Higher Education Loan Programme,5
57946,Horseracing industry,5
58221,Indigenous housing,5
58391,institutions,5
58441,interactive map,5
58666,Job loss,5
58741,Kevin Rudd,5
58766,knowledge transfer,5
59046,Long-term investing,5
59226,Meat and Wool,5
59311,medical education,5
